address,prize_id,prize_name
3PNPLCXftPqLyLztna9H5VK32wNrHYQrL88,2,Mantle x1Genesis Duck
3PE1gxkMSvyez6tzb3BnNZuNsUMQxfN5ow9,2,Mantle x1Genesis Duck
3PCtMsehm1wz6i7pR7tWsYgRnojzQw5yMTu,2,Mantle x1Genesis Duck
3PDmbdM3KpzZscQ8qxQCNMVk86F8xs9WFvQ,2,Mantle x1Genesis Duck
3PEV8yWiUAKudPCASxqSRCbJDpzudy76UAU,2,Mantle x1Genesis Duck
3PR9ee8dnKVnLREWzUiGX5RhibLsFKCLHwM,2,Mantle x1Genesis Duck
3P2SSKGzBa1MB32oC7ccTdWjHgVif9K62sF,2,Mantle x1Genesis Duck
3P39R9vjhW8Sq2pr7fZfLzDhchG8H5r9Yh5,2,Mantle x1Genesis Duck
3PBDNYzzygivV3u1peXJNMNjbaosA6D7fhx,2,Mantle x1Genesis Duck
3P2FMHavshKyciyu8cHvkVjkwppqXmz7nWm,2,Mantle x1Genesis Duck
3PDoE5GBgPSDqEhD2BxCBdnAJZjPKoPwuvP,2,Mantle x1Genesis Duck
3PLnr2EwvtB2FYufD7tojV99RMEU9psAhYa,2,Mantle x1Genesis Duck
3PACSeGj5TfuDx48vS8kz3bS53hSXXmtWnC,2,Mantle x1Genesis Duck
3P4dqDyjLHx8Bu6k1kwAPFTi8Rru4uhXMuc,2,Mantle x1Genesis Duck
3P8ffsHW1sYKyynAjWe1bSqvo3RcviencfC,2,Mantle x1Genesis Duck
3PKucVidUGyFRamMeYaHWK1hmZaU7W6JZzv,2,Mantle x1Genesis Duck
3PGQ1QXZ5ADn9gjuhUocbxnfkBwMRTFX7e4,2,Mantle x1Genesis Duck
3PFABshELQBhPQBaBMUJfkXC5ATAri81ayy,2,Mantle x1Genesis Duck
3PKUFKm1ujQYAVC7AzTdpxAhmxBN8omQ5uU,2,Mantle x1Genesis Duck
3P8bxPavni6rQjNXWFnP6Xw68Bb8gyAB3pb,2,Mantle x1Genesis Duck
3PRDr6TuT7hWU43YPw4PmcPbsietYnWvBRm,2,Mantle x1Genesis Duck
3P5T9GaAcSyoyhj44AyGNUveNDZB1KCo9xy,2,Mantle x1Genesis Duck
3P2zKiZcbjgHr8eydkzTnLYQkFzrt8cDiop,2,Mantle x1Genesis Duck
3PKuwyLkg2RXbE1Y28VaE1Kt435R3i1ZtqE,2,Mantle x1Genesis Duck
3PPx22UoTg5L8YrynFbwrAZ2XYNgz6Q6MEG,2,Mantle x1Genesis Duck
3P8KBNDTDVPZeyHXSNuERG8e4XZPr4f3h6C,1,Perch
3PHVVqwKCu1iM1yk37DnsUpaLtCJgCwkuu7,1,Perch
3P9z8MndJGRo1StAmUwJdEApwMUyruBkMZ4,1,Perch
3P8xw9b9fKityxD2BktZfCf4YL42AQLjuyi,1,Perch
3P58P8y27raJtXyYKqFecwisBYc3MjpBj1f,1,Perch
3PNgZZ3ad5HrV7HDLHP6sYPC95z6xeb7kZ9,1,Perch
3PGdDi4pbBDmcaVVD9FWrtYdDbsYwQS1oyZ,1,Perch
3PBpuHBzPEyBokffjFi9aDZWrg6gSosv1i7,1,Perch
3PGb9RrWBvQ1x7Rf6r17FQSCUd7dZaCtKNa,1,Perch
3P7e6FNREH7ZC6K2tGstjTymeZATRtGriaZ,1,Perch
3PAPnU9ADaotEYXwJbAfGRoSABp6Du3hxDZ,1,Perch
3PJ22NF53J9JBugGkvu3zd2kPoERGwzD3ew,1,Perch
3PDxtyK4ZPXTXRLJ98ZUxFRUd8zsBTFcsuH,1,Perch
3PPrR4GNrWdJibYCxezNXxDRkghJV5RVRbW,1,Perch
3P7odAHJEQ8Qsew91meP3v4Wc6q1JNZfRhz,1,Perch
3P6bYsnEmZkGwMhbKx6thEqjvy8aYi5bJt2,1,Perch
3PAF1UmSTn272BouzevJQS5HSqgs9uyPGAb,1,Perch
3PBMiM9bWztpj1JgPysRNUxnqsbzocRMNfQ,1,Perch
3PKPJdfCErevQsyaC4fVFGCb24v3AtzXnzq,1,Perch
3PNLBJMbhS4HsT3yq9E8rUPpeDGBm1ZPTye,1,Perch
3PLPTh6h9uoByi8UTtyaQNSZwx99NLLpYaJ,1,Perch
3PG46NxFcWurMhbtKjHQyYJMAK9mwx89512,1,Perch
3PCXrFE4XiMKmxiM7kWrckh6zSKktenHway,1,Perch
3PQzmCa6E7mXZFgpumJFWmj9GDJjVGCPrqo,1,Perch
3P84R7o8KWbuxhnBLvF87XkWz9SgveuncPV,1,Perch
3P5YWvui6peKjomoBYP7sS2RZCHjqxzZsRP,1,Perch
3PQviiVxo3wFy3uP7jb6f5zKFd8X7HjXt5X,1,Perch
3P3zpfz1oxiwNHWHouddJVx5drSC3aBKyFz,1,Perch
3PLiVY4cMDQV4WSrmJ6dgL3RaroWwd2t2w3,1,Perch
3PLaKMcneYrFjcWaEvEoThhR8mj2ivba8rr,1,Perch
3PBpYawbCNwErcZ74diQuEzVPb1fRSEWGhM,1,Perch
3PM4XHQ7Ak5MD1nJNFy1FRSAucmmVtho7oJ,1,Perch
3P9qF9TbxtbcrYwdJvVm8sKuEhFr2zaHr9W,1,Perch
3P2opnaLgVCHrYuUkRZCYzkDCSfB86UkMLL,1,Perch
3PHyZVtE2apvSc1o9htx2UHwSn69EEwK7cY,1,Perch
3P3LFLCSGhmVydJtPMKLHrE8e85LYJTr81y,1,Perch
3P8d4iB1jYXBPm1FCtb9sUobbqsFMCzofsN,1,Perch
3PMLCP9ZxdWnab7FLoxQ6Bwh6zTXLabGA4Z,1,Perch
3PFmyYWKrxW5oucjHfZx1wGTZe2KpSG9pks,1,Perch
